ID_TICKET,TYPE,STATUT_FERMETURE,PRIORITE,HORO_DATE_OUVERTURE,RESOLVED_AT,DUREE_RESO_H
131,Billing inquiry,Closed,Medium,2020-02-13,2023-06-01 15:03:36,28911.06
134,Refund request,Closed,Critical,2021-06-17,2023-05-31 22:53:41,17134.894722222223
135,Cancellation request,Closed,Critical,2020-05-01,2023-06-01 01:07:42,27025.128333333334
138,Technical issue,Closed,Low,2021-12-20,2023-06-01 09:08:46,12681.146111111111
139,Product inquiry,Closed,Critical,2021-02-12,2023-06-01 06:58:47,20142.979722222222
141,Cancellation request,Closed,Critical,2021-05-09,2023-06-01 05:30:50,18077.51388888889
142,Technical issue,Closed,High,2020-04-13,2023-06-01 05:10:52,27461.181111111113
148,Billing inquiry,Closed,Low,2020-10-06,2023-05-31 23:28:03,23231.4675
149,Refund request,Closed,High,2021-10-24,2023-06-01 13:55:05,14053.918055555556
150,Technical issue,Closed,Critical,2021-03-18,2023-06-01 20:02:07,19340.035277777777
151,Refund request,Closed,Critical,2020-10-14,2023-06-01 06:51:09,23046.8525
162,Refund request,Closed,High,2020-01-06,2023-06-01 15:58:25,29823.973611111112
163,Refund request,Closed,Critical,2021-10-23,2023-06-01 10:37:27,14074.624166666666
164,Cancellation request,Closed,Medium,2020-11-11,2023-06-01 09:02:27,22377.040833333333
165,Billing inquiry,Closed,Low,2021-05-21,2023-06-01 21:26:29,17805.44138888889
167,Refund request,Closed,Medium,2020-04-03,2023-06-01 07:29:32,27703.492222222223
168,Technical issue,Closed,Medium,2020-01-31,2023-06-01 06:19:33,29214.325833333332
170,Product inquiry,Closed,Medium,2020-08-04,2023-06-01 11:08:36,24755.143333333333
171,Billing inquiry,Closed,Low,2021-12-24,2023-06-01 18:36:38,12594.610555555555
176,Technical issue,Closed,Medium,2021-10-18,2023-06-01 07:23:45,14191.395833333334
183,Product inquiry,Closed,High,2021-04-18,2023-06-01 06:34:56,18582.582222222223
184,Billing inquiry,Closed,Medium,2020-03-16,2023-06-01 03:51:57,28131.865833333333
189,Refund request,Closed,High,2021-01-10,2023-06-01 07:32:03,20935.534166666668
193,Product inquiry,Closed,Medium,2021-10-28,2023-05-31 22:49:09,13942.819166666666
195,Billing inquiry,Closed,Medium,2021-06-15,2023-06-01 11:49:11,17195.819722222222
198,Refund request,Closed,High,2021-01-28,2023-05-31 22:36:15,20494.604166666668
199,Cancellation request,Closed,Critical,2021-07-23,2023-06-01 19:24:17,16291.404722222222
200,Product inquiry,Closed,Medium,2020-09-19,2023-06-01 20:34:19,23660.571944444444
205,Cancellation request,Closed,High,2020-06-11,2023-06-01 17:50:28,26057.841111111113
206,Refund request,Closed,Medium,2020-11-24,2023-06-01 11:18:29,22067.308055555557
210,Technical issue,Closed,Low,2020-02-04,2023-06-01 20:10:34,29132.176111111112
220,Technical issue,Closed,Critical,2021-09-23,2023-06-01 11:02:49,14795.046944444444
221,Billing inquiry,Closed,Medium,2021-03-21,2023-06-01 05:45:51,19253.764166666668
226,Technical issue,Closed,High,2020-03-29,2023-05-31 21:54:57,27813.915833333333
227,Billing inquiry,Closed,High,2021-01-04,2023-06-01 16:11:59,21088.199722222223
230,Technical issue,Closed,Critical,2021-02-20,2023-06-01 10:40:04,19954.667777777777
237,Refund request,Closed,Critical,2021-01-07,2023-06-01 00:43:14,21000.720555555556
238,Product inquiry,Closed,High,2021-09-16,2023-06-01 08:38:16,14960.637777777778
241,Technical issue,Closed,Low,2021-07-25,2023-06-01 09:42:21,16233.705833333333
242,Billing inquiry,Closed,Low,2021-10-26,2023-06-01 21:49:23,14013.823055555555
250,Refund request,Closed,High,2021-09-20,2023-06-01 14:34:34,14870.576111111111
251,Technical issue,Closed,Critical,2021-07-27,2023-06-01 08:04:34,16184.076111111111
260,Billing inquiry,Closed,Low,2021-08-14,2023-06-01 11:26:46,15755.44611111111
263,Product inquiry,Closed,Medium,2021-12-11,2023-06-01 00:08:50,12888.147222222222
265,Refund request,Closed,Critical,2021-06-28,2023-06-01 04:42:52,16876.714444444446
266,Cancellation request,Closed,Medium,2020-04-27,2023-06-01 16:15:54,27136.265
270,Refund request,Closed,High,2021-05-10,2023-06-01 16:09:57,18064.165833333333
271,Billing inquiry,Closed,Critical,2021-01-08,2023-06-01 13:27:58,20989.466111111113
278,Billing inquiry,Closed,Medium,2020-02-26,2023-06-01 14:25:06,28598.418333333335
279,Technical issue,Closed,Low,2021-06-07,2023-05-31 23:05:08,17375.085555555557
281,Product inquiry,Closed,Critical,2021-05-08,2023-06-01 16:09:11,18112.153055555555
293,Billing inquiry,Closed,High,2021-12-09,2023-06-01 09:47:23,12945.789722222222
295,Product inquiry,Closed,Critical,2020-09-03,2023-06-01 00:15:25,24024.256944444445
297,Billing inquiry,Closed,Medium,2021-04-02,2023-06-01 08:26:26,18968.440555555557
298,Cancellation request,Closed,Critical,2020-09-12,2023-06-01 17:40:28,23825.674444444445
303,Product inquiry,Closed,Medium,2020-01-22,2023-06-01 01:53:37,29425.89361111111
305,Cancellation request,Closed,Medium,2021-03-06,2023-06-01 21:20:39,19629.344166666666
307,Refund request,Closed,Low,2021-07-05,2023-06-01 20:10:42,16724.178333333333
311,Technical issue,Closed,High,2020-09-06,2023-06-01 04:49:48,23956.83
312,Refund request,Closed,Critical,2020-07-18,2023-06-01 09:18:48,25161.31333333333
313,Technical issue,Closed,Medium,2020-06-26,2023-06-01 01:29:50,25681.49722222222
315,Cancellation request,Closed,High,2021-01-15,2023-06-01 05:41:53,20813.698055555556
318,Technical issue,Closed,Low,2020-05-03,2023-05-31 23:53:56,26975.89888888889
321,Cancellation request,Closed,Medium,2021-08-09,2023-06-01 05:11:01,15869.183611111112
323,Refund request,Closed,Critical,2021-11-24,2023-05-31 23:56:03,13295.934166666666
326,Refund request,Closed,Low,2020-01-27,2023-06-01 11:28:07,29315.46861111111
330,Refund request,Closed,Medium,2021-10-21,2023-06-01 09:59:12,14121.986666666666
333,Technical issue,Closed,Medium,2020-04-18,2023-06-01 19:56:18,27355.93833333333
334,Technical issue,Closed,Medium,2021-02-06,2023-05-31 23:46:19,20279.771944444445
339,Technical issue,Closed,Critical,2021-02-07,2023-06-01 16:42:25,20272.706944444446
340,Product inquiry,Closed,Low,2020-02-25,2023-06-01 11:02:26,28619.040555555555
343,Cancellation request,Closed,Low,2021-01-20,2023-06-01 21:15:28,20709.257777777777
345,Technical issue,Closed,High,2021-05-16,2023-06-01 17:25:31,17921.425277777777
346,Technical issue,Closed,High,2021-04-12,2023-06-01 07:13:32,18727.225555555557
350,Billing inquiry,Closed,Critical,2020-07-15,2023-06-01 17:25:36,25241.426666666666
351,Cancellation request,Closed,Critical,2021-10-27,2023-06-01 17:15:38,13985.260555555555
353,Refund request,Closed,High,2020-12-14,2023-06-01 10:42:40,21586.71111111111
354,Cancellation request,Closed,Critical,2021-12-29,2023-06-01 04:54:42,12460.911666666667
357,Technical issue,Closed,High,2021-10-14,2023-06-01 20:42:47,14300.713055555556
361,Cancellation request,Closed,Medium,2020-02-05,2023-06-01 08:39:52,29096.664444444443
362,Product inquiry,Closed,Medium,2020-12-05,2023-06-01 14:54:54,21806.915
365,Cancellation request,Closed,High,2021-09-25,2023-06-01 20:10:58,14756.182777777778
366,Billing inquiry,Closed,Medium,2020-02-02,2023-06-01 07:18:59,29167.31638888889
371,Refund request,Closed,Medium,2020-10-31,2023-05-31 23:26:04,22631.434444444443
372,Cancellation request,Closed,Medium,2021-02-21,2023-05-31 22:59:05,19918.984722222223
373,Refund request,Closed,Medium,2021-11-04,2023-06-01 21:08:06,13797.135
374,Technical issue,Closed,Critical,2021-06-01,2023-06-01 11:42:08,17531.702222222222
376,Product inquiry,Closed,Low,2021-08-12,2023-06-01 20:11:11,15812.18638888889
379,Refund request,Closed,Medium,2020-07-19,2023-05-31 22:18:15,25126.304166666665
381,Product inquiry,Closed,Low,2020-05-03,2023-06-01 13:10:19,26989.171944444446
382,Product inquiry,Closed,High,2021-09-07,2023-05-31 23:14:20,15167.238888888889
384,Refund request,Closed,High,2020-12-16,2023-06-01 13:00:21,21541.005833333333
386,Technical issue,Closed,Medium,2020-10-25,2023-06-01 11:32:25,22787.540277777778
387,Cancellation request,Closed,Critical,2021-07-17,2023-05-31 23:21:27,16415.3575
388,Billing inquiry,Closed,High,2020-12-08,2023-06-01 17:28:28,21737.474444444444
391,Technical issue,Closed,High,2021-07-09,2023-06-01 17:47:33,16625.7925
395,Product inquiry,Closed,Critical,2020-02-26,2023-06-01 12:07:38,28596.12722222222
396,Technical issue,Closed,Low,2020-12-26,2023-06-01 08:31:39,21296.5275
403,Cancellation request,Closed,Medium,2021-06-01,2023-06-01 08:51:49,17528.863611111112
404,Billing inquiry,Closed,Low,2021-11-11,2023-05-31 22:34:50,13606.580555555556
405,Cancellation request,Closed,Critical,2021-08-30,2023-06-01 13:11:51,15373.1975
409,Product inquiry,Closed,Critical,2020-03-20,2023-06-01 02:29:58,28034.499444444446
412,Refund request,Closed,Low,2021-05-16,2023-06-01 06:59:02,17910.983888888888
419,Technical issue,Closed,Low,2020-06-17,2023-06-01 20:41:10,25916.68611111111
429,Refund request,Closed,High,2020-04-21,2023-06-01 06:23:26,27270.390555555554
430,Refund request,Closed,Low,2021-02-12,2023-06-01 16:26:28,20152.44111111111
438,Cancellation request,Closed,Critical,2021-04-25,2023-06-01 16:12:35,18424.209722222222
439,Product inquiry,Closed,Medium,2021-05-22,2023-06-01 01:54:37,17761.910277777777
440,Cancellation request,Closed,Low,2021-10-29,2023-06-01 20:08:38,13940.14388888889
442,Technical issue,Closed,Medium,2020-05-27,2023-06-01 04:43:42,26404.728333333333
444,Refund request,Closed,Medium,2021-04-22,2023-06-01 12:06:44,18492.112222222222
445,Technical issue,Closed,Medium,2020-11-24,2023-06-01 14:40:46,22070.679444444446
450,Refund request,Closed,Critical,2020-02-04,2023-06-01 05:56:53,29117.948055555556
454,Billing inquiry,Closed,High,2021-04-01,2023-05-31 23:53:59,18983.89972222222
456,Refund request,Closed,Low,2021-03-14,2023-06-01 06:25:02,19422.417222222222
459,Refund request,Closed,Low,2020-07-13,2023-06-01 11:28:05,25283.468055555557
460,Product inquiry,Closed,Low,2021-02-20,2023-06-01 11:52:07,19955.868611111113
462,Billing inquiry,Closed,Critical,2020-09-22,2023-06-01 13:29:11,23581.48638888889
464,Product inquiry,Closed,Medium,2020-07-17,2023-06-01 08:26:14,25184.437222222223
468,Billing inquiry,Closed,Critical,2020-04-26,2023-06-01 07:01:20,27151.022222222222
469,Cancellation request,Closed,Low,2020-09-16,2023-05-31 23:16:22,23711.272777777776
471,Refund request,Closed,Critical,2021-04-26,2023-06-01 12:24:25,18396.406944444443
473,Cancellation request,Closed,Medium,2021-06-04,2023-06-01 10:51:26,17458.85722222222
475,Product inquiry,Closed,Low,2021-12-02,2023-06-01 02:25:30,13106.425
484,Technical issue,Closed,Low,2020-09-24,2023-06-01 00:26:41,23520.444722222222
485,Technical issue,Closed,Critical,2021-07-25,2023-06-01 07:18:43,16231.311944444444
486,Product inquiry,Closed,Medium,2021-06-20,2023-06-01 12:23:44,17076.395555555555
493,Billing inquiry,Closed,Critical,2020-03-16,2023-06-01 06:56:55,28134.94861111111
496,Technical issue,Closed,Low,2021-12-04,2023-06-01 21:03:59,13077.066388888888
497,Technical issue,Closed,Medium,2020-11-06,2023-06-01 11:38:00,22499.633333333335
501,Cancellation request,Closed,High,2020-08-22,2023-06-01 16:30:07,24328.501944444444
502,Billing inquiry,Closed,Critical,2021-05-29,2023-06-01 17:52:08,17609.86888888889
504,Technical issue,Closed,Medium,2021-08-20,2023-06-01 17:04:12,15617.07
510,Product inquiry,Closed,High,2021-12-15,2023-06-01 16:42:20,12808.705555555556
512,Product inquiry,Closed,Low,2021-09-16,2023-06-01 08:45:23,14960.756388888889
515,Technical issue,Closed,Critical,2021-02-12,2023-06-01 13:23:28,20149.391111111112
516,Technical issue,Closed,Medium,2021-04-01,2023-05-31 23:55:29,18983.924722222222
517,Billing inquiry,Closed,Critical,2020-03-03,2023-06-01 12:48:30,28452.808333333334
519,Product inquiry,Closed,Critical,2021-01-07,2023-06-01 18:17:33,21018.2925
525,Refund request,Closed,Low,2020-10-21,2023-06-01 04:39:41,22876.66138888889
526,Refund request,Closed,Medium,2020-12-19,2023-06-01 07:55:43,21463.92861111111
527,Refund request,Closed,Critical,2021-06-05,2023-06-01 21:18:45,17445.3125
535,Technical issue,Closed,Medium,2020-11-29,2023-06-01 09:59:55,21945.99861111111
537,Technical issue,Closed,Medium,2021-09-13,2023-06-01 18:18:57,15042.315833333334
540,Cancellation request,Closed,Medium,2021-04-04,2023-06-01 16:47:00,18928.783333333333
544,Refund request,Closed,Low,2021-08-06,2023-06-01 17:51:07,15953.851944444445
556,Billing inquiry,Closed,Critical,2021-10-14,2023-06-01 12:57:24,14292.956666666667
559,Product inquiry,Closed,Critical,2020-07-02,2023-06-01 20:09:29,25556.158055555556
562,Technical issue,Closed,Medium,2020-05-17,2023-06-01 11:54:34,26651.909444444445
565,Cancellation request,Closed,High,2020-10-24,2023-06-01 01:22:38,22801.37722222222
568,Billing inquiry,Closed,High,2021-09-30,2023-06-01 06:54:42,14622.911666666667
569,Product inquiry,Closed,Low,2020-12-24,2023-06-01 17:33:43,21353.561944444446
575,Billing inquiry,Closed,Medium,2021-05-07,2023-06-01 10:19:52,18130.33111111111
576,Billing inquiry,Closed,Low,2021-05-25,2023-06-01 06:47:54,17694.798333333332
577,Product inquiry,Closed,Low,2020-12-11,2023-06-01 02:51:56,21650.865555555556
581,Cancellation request,Closed,Critical,2020-09-07,2023-06-01 06:13:01,23934.216944444444
586,Refund request,Closed,Critical,2020-04-03,2023-06-01 06:39:08,27702.652222222223
588,Refund request,Closed,Medium,2020-01-24,2023-06-01 15:48:12,29391.803333333333
590,Technical issue,Closed,High,2020-02-23,2023-06-01 04:04:15,28660.070833333335
597,Cancellation request,Closed,Critical,2020-02-09,2023-06-01 12:27:26,29004.457222222223
598,Technical issue,Closed,High,2020-02-07,2023-06-01 14:19:27,29054.324166666665
599,Technical issue,Closed,Critical,2021-07-21,2023-06-01 19:12:29,16339.208055555555
601,Billing inquiry,Closed,Low,2021-04-20,2023-06-01 14:52:33,18542.87583333333
604,Refund request,Closed,Critical,2020-04-11,2023-06-01 02:05:38,27506.09388888889
605,Product inquiry,Closed,Critical,2021-11-01,2023-06-01 14:00:39,13862.010833333334
612,Product inquiry,Closed,Medium,2021-12-02,2023-06-01 16:04:48,13120.08
620,Technical issue,Closed,Low,2021-05-17,2023-06-01 04:00:58,17884.016111111112
621,Billing inquiry,Closed,Low,2020-01-21,2023-06-01 01:32:59,29449.549722222222
622,Product inquiry,Closed,Medium,2020-11-16,2023-06-01 16:08:01,22264.133611111112
628,Billing inquiry,Closed,High,2021-06-13,2023-06-01 05:38:08,17237.635555555556
636,Cancellation request,Closed,Medium,2021-08-31,2023-06-01 11:51:20,15347.855555555556
641,Technical issue,Closed,Low,2021-04-29,2023-06-01 00:49:23,18312.823055555556
643,Billing inquiry,Closed,High,2021-03-30,2023-06-01 03:59:26,19035.990555555556
644,Cancellation request,Closed,Critical,2020-07-23,2023-06-01 18:39:28,25050.65777777778
645,Refund request,Closed,Medium,2020-03-04,2023-06-01 12:33:30,28428.558333333334
649,Refund request,Closed,Medium,2020-03-13,2023-06-01 17:14:36,28217.243333333332
655,Refund request,Closed,High,2020-12-29,2023-06-01 08:20:45,21224.345833333333
657,Refund request,Closed,Critical,2021-04-16,2023-06-01 16:44:47,18640.74638888889
658,Technical issue,Closed,High,2021-07-01,2023-06-01 15:32:49,16815.546944444446
663,Billing inquiry,Closed,High,2021-12-26,2023-06-01 00:39:57,12528.665833333333
665,Product inquiry,Closed,Low,2020-09-05,2023-06-01 09:05:00,23985.083333333332
666,Cancellation request,Closed,Medium,2020-10-03,2023-05-31 22:55:02,23302.917222222222
671,Product inquiry,Closed,Medium,2020-09-24,2023-06-01 01:36:06,23521.601666666666
674,Product inquiry,Closed,Medium,2021-08-29,2023-06-01 16:47:11,15400.78638888889
679,Cancellation request,Closed,Medium,2021-12-25,2023-06-01 02:43:17,12554.72138888889
680,Technical issue,Closed,Critical,2021-01-04,2023-06-01 08:07:19,21080.121944444443
684,Product inquiry,Closed,Critical,2020-01-08,2023-06-01 04:23:26,29764.390555555554
685,Technical issue,Closed,Critical,2020-05-17,2023-06-01 05:17:27,26645.290833333333
689,Product inquiry,Closed,Medium,2021-01-05,2023-05-31 23:45:31,21047.758611111112
691,Billing inquiry,Closed,Medium,2020-01-02,2023-06-01 00:40:32,29904.675555555557
692,Product inquiry,Closed,High,2020-11-19,2023-06-01 03:12:34,22179.209444444445
698,Billing inquiry,Closed,Critical,2020-04-26,2023-06-01 01:21:44,27145.362222222222
700,Cancellation request,Closed,Medium,2020-03-25,2023-05-31 22:39:45,27910.6625
702,Technical issue,Closed,Critical,2021-07-01,2023-06-01 00:53:47,16800.89638888889
704,Product inquiry,Closed,High,2020-10-27,2023-05-31 22:42:48,22726.713333333333
705,Refund request,Closed,High,2020-04-06,2023-06-01 21:42:50,27645.713888888888
708,Cancellation request,Closed,Critical,2021-10-28,2023-06-01 00:04:54,13944.081666666667
712,Technical issue,Closed,High,2020-12-28,2023-06-01 18:25:59,21258.433055555557
713,Product inquiry,Closed,High,2021-09-27,2023-06-01 13:36:01,14701.600277777778
715,Refund request,Closed,Critical,2021-05-11,2023-06-01 00:41:03,18024.684166666666
718,Technical issue,Closed,Low,2020-11-04,2023-05-31 23:31:07,22535.51861111111
721,Billing inquiry,Closed,Critical,2020-12-15,2023-06-01 12:26:10,21564.43611111111
723,Technical issue,Closed,Medium,2020-09-08,2023-06-01 18:13:13,23922.22027777778
729,Cancellation request,Closed,High,2021-03-09,2023-06-01 13:25:22,19549.422777777778
730,Technical issue,Closed,Low,2020-05-14,2023-06-01 18:48:24,26730.806666666667
734,Cancellation request,Closed,Medium,2021-07-10,2023-06-01 07:13:29,16591.22472222222
735,Technical issue,Closed,Critical,2020-02-07,2023-06-01 15:00:31,29055.008611111112
736,Cancellation request,Closed,High,2020-02-26,2023-06-01 13:07:31,28597.125277777777
741,Technical issue,Closed,Critical,2020-06-11,2023-06-01 02:52:39,26042.8775
744,Cancellation request,Closed,Critical,2020-08-03,2023-06-01 20:40:44,24788.678888888888
747,Technical issue,Closed,High,2020-02-03,2023-06-01 01:00:49,29137.01361111111
749,Technical issue,Closed,Critical,2021-02-04,2023-06-01 19:22:53,20347.381388888887
753,Cancellation request,Closed,Critical,2021-06-15,2023-06-01 06:25:59,17190.433055555557
755,Product inquiry,Closed,Medium,2020-06-19,2023-06-01 19:36:02,25867.600555555557
756,Refund request,Closed,High,2020-10-06,2023-06-01 20:38:02,23252.63388888889
761,Technical issue,Closed,Critical,2021-07-09,2023-06-01 16:39:12,16624.653333333332
764,Product inquiry,Closed,Medium,2020-05-19,2023-06-01 00:30:14,26592.50388888889
765,Billing inquiry,Closed,Medium,2021-08-24,2023-06-01 16:05:16,15520.087777777779
766,Refund request,Closed,Critical,2020-09-07,2023-06-01 08:24:18,23936.405
770,Product inquiry,Closed,High,2020-07-31,2023-06-01 11:36:25,24851.606944444444
773,Cancellation request,Closed,Medium,2020-06-19,2023-06-01 06:52:27,25854.87416666667
777,Cancellation request,Closed,Critical,2020-06-11,2023-06-01 18:27:34,26058.459444444445
781,Refund request,Closed,Low,2020-09-06,2023-06-01 17:56:39,23969.944166666668
787,Refund request,Closed,Critical,2020-08-08,2023-06-01 07:32:46,24655.54611111111
791,Product inquiry,Closed,High,2021-01-14,2023-06-01 02:18:51,20834.314166666667
792,Cancellation request,Closed,Critical,2020-04-09,2023-06-01 19:18:53,27571.31472222222
796,Refund request,Closed,Critical,2021-09-04,2023-06-01 09:44:59,15249.749722222223
799,Product inquiry,Closed,High,2021-09-18,2023-06-01 07:41:03,14911.684166666666
807,Technical issue,Closed,High,2020-02-01,2023-06-01 21:46:12,29205.77
810,Refund request,Closed,Medium,2020-02-29,2023-06-01 19:47:16,28531.78777777778
816,Product inquiry,Closed,Low,2021-04-11,2023-06-01 21:50:26,18765.840555555555
819,Refund request,Closed,High,2020-12-07,2023-06-01 19:55:30,21763.925
822,Cancellation request,Closed,Critical,2021-07-19,2023-06-01 16:42:35,16384.709722222222
828,Product inquiry,Closed,Low,2021-04-11,2023-06-01 00:05:42,18744.095
835,Refund request,Closed,Critical,2021-02-26,2023-06-01 11:26:52,19811.44777777778
839,Cancellation request,Closed,Medium,2021-05-12,2023-06-01 14:55:59,18014.933055555557
841,Product inquiry,Closed,Critical,2021-02-01,2023-06-01 13:07:00,20413.116666666665
847,Billing inquiry,Closed,High,2020-01-22,2023-06-01 04:15:08,29428.25222222222
851,Refund request,Closed,Low,2020-01-18,2023-06-01 16:40:13,29536.67027777778
853,Refund request,Closed,Medium,2021-10-03,2023-06-01 07:17:15,14551.2875
855,Billing inquiry,Closed,High,2020-11-09,2023-06-01 02:55:16,22418.92111111111
856,Billing inquiry,Closed,High,2021-11-10,2023-06-01 19:38:18,13651.638333333334
858,Product inquiry,Closed,Medium,2020-09-02,2023-06-01 05:25:22,24053.422777777778
862,Refund request,Closed,Medium,2020-01-10,2023-06-01 13:07:27,29725.12416666667
863,Refund request,Closed,Low,2021-01-18,2023-06-01 14:43:28,20750.724444444444
864,Technical issue,Closed,Medium,2021-10-24,2023-06-01 04:12:29,14044.208055555555
866,Cancellation request,Closed,High,2020-03-10,2023-06-01 12:14:30,28284.241666666665
867,Refund request,Closed,Critical,2020-05-09,2023-06-01 04:34:32,26836.575555555555
876,Cancellation request,Closed,Medium,2021-02-14,2023-06-01 19:26:44,20107.445555555554
877,Technical issue,Closed,High,2021-01-14,2023-06-01 15:14:46,20847.24611111111
881,Billing inquiry,Closed,High,2020-12-24,2023-05-31 23:55:51,21335.930833333332
884,Product inquiry,Closed,Critical,2020-09-23,2023-06-01 11:28:56,23555.48222222222
888,Billing inquiry,Closed,Critical,2021-11-27,2023-06-01 11:41:02,13235.683888888889
890,Technical issue,Closed,Low,2021-03-01,2023-06-01 02:09:04,19730.15111111111
893,Technical issue,Closed,Medium,2020-10-21,2023-06-01 14:49:09,22886.819166666668
895,Refund request,Closed,Critical,2020-03-29,2023-06-01 21:39:12,27837.653333333332
896,Billing inquiry,Closed,Low,2020-12-12,2023-06-01 16:23:13,21640.386944444443
897,Cancellation request,Closed,High,2021-09-02,2023-06-01 05:47:14,15293.787222222221
898,Technical issue,Closed,Low,2021-10-31,2023-06-01 16:22:14,13888.370555555555
904,Billing inquiry,Closed,Critical,2021-10-19,2023-06-01 12:25:24,14172.423333333334
908,Cancellation request,Closed,Critical,2020-05-31,2023-05-31 22:13:28,26302.224444444444
912,Refund request,Closed,Critical,2021-04-10,2023-06-01 20:14:34,18788.242777777778
914,Product inquiry,Closed,High,2020-01-16,2023-06-01 08:38:37,29576.64361111111
918,Cancellation request,Closed,Medium,2020-11-13,2023-06-01 15:49:43,22335.828611111112
920,Technical issue,Closed,High,2020-03-26,2023-06-01 04:21:47,27892.363055555557
923,Product inquiry,Closed,High,2020-04-09,2023-05-31 23:36:51,27551.614166666666
927,Billing inquiry,Closed,High,2020-08-10,2023-06-01 10:38:58,24610.649444444443
930,Billing inquiry,Closed,Critical,2020-04-02,2023-06-01 17:15:02,27737.250555555554
934,Technical issue,Closed,Medium,2021-02-17,2023-06-01 13:08:06,20029.135
938,Product inquiry,Closed,High,2020-02-14,2023-05-31 23:34:10,28871.569444444445
939,Technical issue,Closed,Critical,2021-04-25,2023-06-01 13:59:12,18421.986666666668
